leiloeiro,junta,site,titulo,descricao,endereco,cidade,uf,lance_inicial,avaliacao,data_leilao,url,tipo,imagem,anexos
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão da Prefeitura de Xambioá- TO Data: 11/06/2026 (quinta-feira) Primeiro lote a partir,Leilão da Prefeitura de Xambioá- TO Data: 11/06/2026 (quinta-feira) Primeiro lote a partir das: 09:00 Bens inservíveis para a administração publica EXTRAJUDICIAL Online (Ao Vivo) AO VIVO,,Palmas,TO,,,11/06/2026,https://www.victordortaleiloes.com.br/leilao/1411/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-69fe6f2dadda5.jpeg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão 1338/2026 da 1ª Vara Civel de Guarai - TO 1º Leilão: 15/06/2026 às 14:00 2º Leilão:,"Leilão 1338/2026 da 1ª Vara Civel de Guarai - TO 1º Leilão: 15/06/2026 às 14:00 2º Leilão: 29/06/2026 às 14:00 50% de desconto e Parcelada em 30X Fazenda das Meninas medindo 236 hectares em Presidente Kennedy, Tocantins JUDICIAL Online (Ao Vivo) AO VIVO",,Palmas,TO,,,15/06/2026,https://www.victordortaleiloes.com.br/leilao/1398/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-69e247b8031ec.jpg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão da Prefeitura de Arapoema - TO Data: 18/06/2026 (quinta-feira) Primeiro lote a part,Leilão da Prefeitura de Arapoema - TO Data: 18/06/2026 (quinta-feira) Primeiro lote a partir das: 09:00 Bens inservíveis para a administração pública EXTRAJUDICIAL Online (Ao Vivo) AO VIVO,,Palmas,TO,,,18/06/2026,https://www.victordortaleiloes.com.br/leilao/1412/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-69fe9353d28fc.jpeg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão da Prefeitura de Porto Alegre do Tocantins Data: 22/06/2026 (segunda-feira) Primeir,Leilão da Prefeitura de Porto Alegre do Tocantins Data: 22/06/2026 (segunda-feira) Primeiro lote a partir das: 09:30 bens inservivieis para a administração EXTRAJUDICIAL Online (Ao Vivo) AO VIVO,,Palmas,TO,,,22/06/2026,https://www.victordortaleiloes.com.br/leilao/1420/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-6a14b2e1eb0d4.jpg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão da Prefeitura de Conceição do Tocantins Data: 24/06/2026 (quarta-feira) Primeiro lo,Leilão da Prefeitura de Conceição do Tocantins Data: 24/06/2026 (quarta-feira) Primeiro lote a partir das: 09:30 bens inserviveis para a administração pública Online (Ao Vivo) AO VIVO,,Palmas,TO,,,24/06/2026,https://www.victordortaleiloes.com.br/leilao/1417/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-6a0d07c8703f5.jpeg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão da Secretaria de Estado de Justiça de Mato Grosso 1º Leilão: 25/06/2026 às 09:00 2º,Leilão da Secretaria de Estado de Justiça de Mato Grosso 1º Leilão: 25/06/2026 às 09:00 2º Leilão: 25/06/2026 às 09:30 Apartamento em Itapema - SC. Nissan Kicks EXTRAJUDICIAL Online (Ao Vivo) AO VIVO,,Palmas,TO,,,25/06/2026,https://www.victordortaleiloes.com.br/leilao/1371/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-69b220d5b38f9.jpg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão da Vara de Execuções Fiscais e Saúde de Palmas 1º Leilão: 25/06/2026 às 14:00 2º Le,"Leilão da Vara de Execuções Fiscais e Saúde de Palmas 1º Leilão: 25/06/2026 às 14:00 2º Leilão: 07/07/2026 às 14:00 50% de desconto e parcelado em até 30X Um lote de terras para construção urbana de número 11, da quadra ARSE 122 JUDICIAL Online (Ao Vivo) AO VIVO",,Palmas,TO,,,25/06/2026,https://www.victordortaleiloes.com.br/leilao/1430/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-6a26c9c5291af.jpg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilão 02/2026 da Secretaria Nacional de Políticas sobre Drogas e Gestão de Ativos (SENAD),Leilão 02/2026 da Secretaria Nacional de Políticas sobre Drogas e Gestão de Ativos (SENAD) Data: 25/06/2026 (quinta-feira) Primeiro lote a partir das: 14:30 ALIENAÇÃO ANTECIPADA (LAVAGEM DE DINHEIRO) DE VEICULOS DE LUXO EXTRAJUDICIAL Online (Ao Vivo) AO VIVO,,Palmas,TO,,,25/06/2026,https://www.victordortaleiloes.com.br/leilao/1419/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-6a149cfc506a4.jpg,
Victor Oliveira Dorta,JUCETINS,https://www.victordortaleiloes.com.br,Leilao 02/2026 da Prefeitura de Data: 28/06/2026 (domingo) Primeiro lote a partir das: 09:,Leilao 02/2026 da Prefeitura de Data: 28/06/2026 (domingo) Primeiro lote a partir das: 09:30 FIAT TORO MB ATRON 2729 EXTRAJUDICIAL Online (Ao Vivo) AO VIVO,,Palmas,TO,,,28/06/2026,https://www.victordortaleiloes.com.br/leilao/1429/lotes,imovel,https://d3ezy8kra02hlo.cloudfront.net/leiloes/000000-6a25aa6b1fdab.jpg,
Cesar Augusto Bagatini,JUCETINS,https://www.leiloesfederal.com.br,TJDFT - 0717991-47 - Vara Cível de Águas Claras/DF APARTAMENTOS 30% DE DESCONTO BRASILIA -,"TJDFT - 0717991-47 - Vara Cível de Águas Claras/DF APARTAMENTOS 30% DE DESCONTO BRASILIA - DF Cancelado - Proc. suspenso para tentativa de acordo Leilão: 307 Data 11/06/2026 às 14:20:00 Lance Inicial R$ 250.000,00 ONLINE ABERTO",,Brasilia,DF,"250.000,00",,11/06/2026,https://www.leiloesfederal.com.br#carousel-364,imovel,https://www.leiloesfederal.com.br//arquivos/bem_foto/0296476001776971018.png,
